id;nombre_tramo;coord_init;coord_final;long;tipo_geomorfo;subtipo_detallado;tipo_playa;nivel_energia;dir_dominante;mag_estimada;fuentes_sedimento;sumideros_sedimento;balance_sedimentario;est_costeras;ev_erosion;influ_arrecifal;influ_manglar;pres_antropic;conectividad ;incertidumbre;tipo_soporte
QR-I-00-01;"Límite Yucatán – Chiquilá
(costa continental N, frente a Holbox W)";21.489535°N, 87.534909°W;21.4425°N, 87.4365°W;10;Costa acumulativa;"Playa abierta baja; arena fina carbonatada; dunas embrionarias; orientación E-W; sin desarrollo";Abierta;Bajo;"E?W (neto; INVERTIDO respecto al resto de costa N Yucatán)
Appendini et al. 2012: 'except west of Holbox, where longshore transport direction is inverted'
Este tramo está en la zona de inversión documentada
Brisas marinas del E generan oleaje oblicuo pero en esta zona el transporte se invierte a E?W
Nortes (N-NW): componente estacional adicional";"EVIDENCIA REGIONAL: Appendini et al. 2012 reporta transporte neto westward de 20,000–80,000 m³/año para toda la costa N de Yucatán, EXCEPTO al oeste de Holbox donde se invierte.
Este tramo está en la zona de inversión ? magnitud probablemente menor que el rango regional.
Estimación indirecta en un groin y un puerto: ~35,000 m³/año (Appendini et al. 2012).

Mecanismo (CERC cualitativo): K=0.39; brisas marinas del E generan oleaje oblicuo (? ~15–25°) sobre costa W-E; Hb ~0.5–0.8 m.
Nota: los parámetros CERC explican la dirección y el mecanismo, pero la magnitud anual requiere integración sobre el clima de oleaje completo como hizo Appendini et al. 2012 con LITDRIFT.";"Bioproducción plataforma; aporte eólico; transporte desde Yucatán";"Plataforma somera; transporte E hacia Holbox";"Sin datos cuantitativos.
Zona de inversión del transporte documentada (Appendini et al. 2012) ? gradientes de transporte inciertos; no es posible inferir balance sin modelación";"Sin estructuras costeras documentadas en la zona continental frente a Holbox W.
Costa natural sin intervención ingenieril.";"Sin datos cuantitativos; costa natural sin intervención";Nula;"Manglar costero; humedales back-barrier";"Baja; sin desarrollo significativo";Abierto;Alta;INTERPRETACIÓN: transporte W?E basado en Appendini et al. 2012 (doi:10.2112/JCOASTRES-D-11-00162.1). Sin estudios específicos.
QR-I-00-02;"Chiquilá – Boca Conil
(frente a Bahía de Holbox)";21.4425°N, 87.4365°W;21.4720°N, 87.3160°W;10;Sistema lagunar;"Costa lagunar continental;
manglar dominante;
frente a Bahía de Holbox (Lag. Yalahau);
boca Conil divide costa";N/A (lagunar);Muy bajo;"Mareal; circulación estuarina";"N/A (sistema lagunar).
Bahía de Holbox: circulación mareal por boca Conil; sin oleaje significativo.
Transporte litoral no aplica.";"Aportes de manglar (materia orgánica, sedimento fino);
bioproducción lagunar;
escorrentía superficial (limitada por karst)";"Bahía de Holbox (sedimentación); manglar (retención)";Sumidero neto;"Muelle de embarcaciones en Chiquilá (ferries a Holbox).
Estructura perpendicular a costa; por estar en laguna protegida, influencia mínima en transporte litoral oceánico.
Posible efecto local en circulación lagunar.";"Sedimentación fangosa; sin datos cuantitativos";Nula;"Manglar dominante; RB Yum Balam; flamencos";"Puerto Chiquilá (ferries a Holbox);
contaminación por lanchas
SGD (descarga agua subterránea): vía de transporte de nutrientes y contaminantes disueltos al mar (Zona Fractura Holbox)";Semi-cerrado;Alta;INTERPRETACIÓN: sistema lagunar por posición back-barrier. SGD regional: EVIDENCIA (Hernández-Terrones et al. 2015, doi:10.1016/j.csr.2015.04.015)
QR-I-00-03;"Boca Conil – Cabo Catoche
(costa continental NE)";21.4720°N, 87.3160°W;21.604865°N, 87.102868°W;30;Costa acumulativa;"Costa acumulativa transitando a erosiva;
Cabo Catoche = promontorio con forma triangular hacia el mar;
cara W: erosión documentada con espigones descolgados (quedaron dentro del agua);
desplazamiento de sedimentos hacia el W visible en acumulaciones;
cara E: transición hacia régimen Caribe;
NO es convergencia de dos oleajes formando cuspate foreland — la forma triangular
se explica por retroceso erosivo de la cara W";Abierta;Bajo-Medio;"E?W (neto en cara N, consistente con Appendini et al. 2012)
Cara W: erosión con retroceso; espigones descolgados = evidencia de pérdida costera;
sedimentos desplazados hacia el W formando acumulaciones
Cabo Catoche: punto de transición Golfo?Caribe, pero la morfología triangular
NO se debe a convergencia de oleaje, sino a erosión diferencial de la cara W";"EVIDENCIA: 20,000–80,000 m³/año neto westward (Appendini et al. 2012).
Este tramo incluye la costa más oriental de la zona norte ? energía de oleaje mayor por estrechamiento de plataforma continental (Appendini et al. 2012) ? probable rango superior.
Cabo Catoche = transición ? magnitud decrece hacia punto de cambio de régimen.

Mecanismo: brisas marinas del E (? ~15–30°); Hb crece hacia el E por menor ancho de plataforma.";"Bioproducción; transporte litoral; erosión plataforma";"Offshore; Cabo Catoche (divergencia)";"Sin datos cuantitativos.
Cabo Catoche = transición entre regímenes ? gradientes de transporte complejos; balance indeterminado sin modelación local";"ESPIGONES en Cabo Catoche (cara W):
— Espigones construidos como protección costera
— Actualmente DESCOLGADOS (quedaron dentro del agua por retroceso costero)
— Evidencia directa de retroceso significativo de la línea de costa
— Acumulaciones de arena hacia el W (updrift) visibles, consistentes con transporte E?W
— Cara W erosionada: los espigones no detuvieron la pérdida
(Observación de campo / imágenes satelitales)";"Erosión en cara W de Cabo Catoche:
— Espigones construidos para protección quedaron descolgados dentro del agua = retroceso costero
— Acumulaciones de sedimento hacia el W consistentes con transporte E?W
— Forma triangular resultado de erosión diferencial, no de acumulación convergente";Baja;"Manglar costero; pastos marinos plataforma";"Baja; pesca artesanal; turismo incipiente (tiburón ballena)";Abierto;Alta;INTERPRETACIÓN: Cabo Catoche como divisoria basado en cambio orientación costera (Appendini et al. 2012, doi:10.2112/JCOASTRES-D-11-00162.1)
QR-I-a-01;Punta Cocos (flecha terminal W);21.5235°N, 87.3930°W;21.5310°N, 87.3750°W;3,5;Costa acumulativa;"Flecha arenosa terminal W; arena fina carbonatada; bioluminiscencia; Punta Cocos lagoon; progradación activa";Abierta (flecha);Bajo;"E?W (neto; convergente en Pta. Cocos)
Transporte litoral E?W a lo largo de costa N de Holbox
Sedimento se acumula en extremo W ? flecha Pta. Cocos prograda hacia W
Consistente con Appendini et al. 2012: transporte westward en costa N";"EVIDENCIA REGIONAL: 20,000–80,000 m³/año westward en costa N (Appendini et al. 2012).
Flecha Pta. Cocos progradando hacia W = evidencia geomorfológica de acumulación por transporte E?W.
Magnitud específica de Holbox: no publicada; isla barrera angosta puede tener tasas diferentes que costa continental por diferencias de batimetría y fetch.

Mecanismo: brisas del E; ? ~15–25° sobre costa W-E; Hb ~0.5–0.8 m.";"Bioproducción; transporte desde W";"Punta Cocos (flecha progradante); offshore durante nortes";"Históricamente positivo (flecha progradante hacia W).
POSIBLE REDUCCIÓN: campo de 20 espigones en QR-I-a-02 (updrift)
retiene arena del transporte E?W ? menor aporte a la flecha.
Sin datos cuantitativos pre- y post-espigones para confirmar.
Balance actual: indeterminado; requiere monitoreo de la tasa
de progradación de Pta. Cocos vs. registros históricos.";"Sin estructuras costeras.
Flecha natural de Pta. Cocos sin intervención.";"Acreción en Pta. Cocos (flecha progradante); sin tasas cuantitativas";Nula;"Manglar extenso lado S; RB Yum Balam; bioluminiscencia";"Turismo creciente; restaurantes de playa; sin infraestructura permanente";"ALERTA: campo de ~20 espigones de bolsacreto en tramo updrift (QR-I-a-02)
retiene arena del transporte E?W que alimenta esta flecha.
Posible déficit sedimentario inducido por estructuras aguas arriba.
Monitoreo de tasa de progradación de Pta. Cocos recomendado
para detectar si los espigones están reduciendo el aporte.";Alta;INTERPRETACIÓN: flecha terminal inferida de morfología en planta. Isla barrera ~42 km, 1.5 km ancho (Wikipedia Holbox)
QR-I-a-02;"Playa Norte Holbox
(pueblo – zona turística principal)";21.5310°N, 87.3750°W;21.5440°N, 87.3430°W;4,5;Costa acumulativa;"Playa abierta sin arrecife; arena fina-media carbonatada; dunas bajas (<2 m); Playa Norte = principal playa turística; aguas someras";Abierta;Bajo-Medio;"E?W (neto)
Brisas marinas del E: agente principal de transporte (Appendini et al. 2012)
Nortes (N-NW): inversión temporal
Neto anual: westward (E?W)";"EVIDENCIA REGIONAL: 20,000–80,000 m³/año westward (Appendini et al. 2012).
Magnitud específica Holbox: no publicada.

Mecanismo: brisas del E; ? ~15–25°; Hb ~0.5–0.8 m.";"Bioproducción; erosión playa-duna; transporte litoral desde W";"Campo de espigones actúa como trampa sedimentaria secuencial;
retiene arena que alimentaría Pta. Cocos (downdrift terminal);
offshore durante nortes";"Sin datos cuantitativos de balance neto del tramo.
Campo de espigones genera redistribución local (suma cero):
lo que gana un sector updrift lo pierde el sector downdrift.
El efecto NETO del campo sobre el tramo completo es probablemente
negativo para Pta. Cocos (downdrift terminal) porque los espigones
retienen arena que de otra forma alimentaría la flecha.
Balance: indeterminado cuantitativamente; probable déficit en
extremo W (Pta. Cocos) por retención en campo de espigones";"CAMPO DE ESPIGONES DE BOLSACRETO (observación de campo):
— ~20 espigones de bolsacreto (sacos de geotextil rellenos de mortero)
— Separación: 60–100 m entre espigones
— Longitud promedio: ~50 m (perpendiculares a costa)
— Material: bolsacreto (geotextil + mortero)
— Orientación: perpendicular a línea de costa (N-facing)

EFECTO OBSERVADO EN TRANSPORTE (campo):
— Cara E (barlovento/updrift): avance de línea de costa de 6–10 m
   ? acumulación de arena consistente con transporte E?W
— Cara W (sotavento/downdrift): retroceso similar de 6–10 m
   ? déficit por interrupción del transporte
— Patrón en DIENTE DE SIERRA a lo largo de la playa
— Redistribución neta ? 0: los espigones no crean arena nueva,
   solo la redistribuyen, generando ganancia updrift = pérdida downdrift

COHERENCIA CON TRANSPORTE DOCUMENTADO:
SÍ: acumulación en cara E y erosión en cara W es 100% consistente
con transporte neto E?W por brisas marinas (Appendini et al. 2012)

EVALUACIÓN PRELIMINAR:
— 20 espigones en ~1.5 km de playa = intervención masiva en isla barrera frágil
— Suma cero: benefician a un hotel a costa del hotel vecino downdrift
— El último espigón (más al W) genera déficit sin compensación
   en Pta. Cocos (flecha natural)
— En isla barrera con transporte E?W documentado, campo de espigones
   interrumpe el flujo sedimentario que alimenta Pta. Cocos
— Requiere evaluación de permisos (MIA, ZOFEMAT)";"Patrón en diente de sierra (campo):
— Avance 6–10 m en cara E (updrift) de cada espigón
— Retroceso 6–10 m en cara W (downdrift) de cada espigón
— Balance neto del campo: redistribución sin ganancia neta
— Consistente con transporte E?W (Appendini et al. 2012)
— Sin tasas cuantitativas de largo plazo publicadas";Nula;"Manglar lado S (bahía); pastos marinos someros";"Alta; >363,000 visitantes 2024; hoteles primera línea; sin PTAR; golf carts";Abierto;Alta;INTERPRETACIÓN: transporte W?E inferido de orientación E-W y oleaje dominante E-SE (Appendini et al. 2012). Turismo: EVIDENCIA (Grokipedia 2026)
QR-I-a-03;Holbox pueblo E – Punta Mosquito;21.5440°N, 87.3430°W;21.5355°N, 87.2775°W;8;Costa acumulativa;"Playa abierta baja; transición turística ? salvaje; arena fina; dunas bajas; kiteboarding";Abierta;Medio;"E?W (neto)
Brisas marinas: transporte E?W
Nortes: inversión temporal";"EVIDENCIA REGIONAL: 20,000–80,000 m³/año westward (Appendini et al. 2012).
Magnitud específica: no publicada.

Mecanismo: brisas del E; ? ~15–25°; Hb ~0.5–0.8 m.";"Bioproducción; transporte desde W";"Transporte E hacia Pta. Mosquito; offshore";"Sin datos cuantitativos.
Zona de transición turística ? natural; sin evidencia geomorfológica clara de tendencia.
Balance: indeterminado";"Muelles artesanales de madera en pueblo de Holbox.
Estructuras ligeras, permeables; sin influencia significativa en transporte.
Muelle principal de ferries: estructura mayor pero perpendicular a costa en zona protegida.";"Sin datos; zona de transición";Nula;Manglar lado S;"Moderada decreciente hacia E; kiteboarding";Abierto;Alta;INTERPRETACIÓN: clasificación basada en posición y orientación
QR-I-a-04;"Punta Mosquito
(flecha arenosa + hábitat flamencos)";21.5355°N, 87.2775°W;21.5290°N, 87.2560°W;2,5;Costa acumulativa;"Flecha arenosa; laguna somera detrás; hábitat estacional flamencos (Phoenicopterus ruber); arena fina; progradación";Abierta (flecha);Medio;"E?W; convergencia en punta
Transporte E?W deposita sedimento formando flecha
Pta. Mosquito = flecha progradante consistente con transporte westward";"EVIDENCIA REGIONAL: 20,000–80,000 m³/año (Appendini et al. 2012).
Flecha Pta. Mosquito progradando = evidencia geomorfológica de acumulación.
Magnitud específica: no publicada.

Mecanismo: convergencia por transporte E?W.";"Transporte litoral desde W; bioproducción";"Laguna somera (sumidero parcial); offshore";Ligeramente positivo (progradación punta);"Sin estructuras costeras.
Pta. Mosquito = flecha natural sin intervención.";"Sin datos; progradación inferida de morfología";Nula;"Laguna somera hábitat flamencos; pastos marinos; RB Yum Balam";"Baja; acceso solo golf cart; observación aves";Semi-cerrado (laguna);Alta;INTERPRETACIÓN: flecha y laguna por morfología en planta
QR-I-a-05;Pta. Mosquito – extremo E Holbox;21.5290°N, 87.2560°W;21.4960°N, 87.1420°W;13;Costa acumulativa;"Playa abierta baja sin berma permanente; sistema barrera angosta; playas salvajes; 75% isla = manglar + playas vacías; sin desarrollo";Abierta;Medio;"E?W (neto)
Brisas marinas: transporte E?W
Extremo E = zona de mayor erosión (fuente de sedimento para transporte westward)";"EVIDENCIA REGIONAL: 20,000–80,000 m³/año (Appendini et al. 2012).
Extremo E de isla barrera = zona fuente.
Magnitud específica: no publicada.

Mecanismo: brisas del E; Hb probablemente mayor en extremo E (más expuesto); ? ~15–25°.";"Bioproducción; transporte desde W; erosión eolianitas";"Extremo E isla (pérdida offshore); boca Conil";"Sin datos cuantitativos.
Extremo E de isla barrera = zona fuente de sedimento para transporte E?W ? probable déficit local.
Geomorfología (barrera angosta, sin berma permanente) sugiere balance ligeramente negativo, pero no cuantificable";"Sin estructuras costeras documentadas.
Extremo E de isla barrera; zona natural.";"Sin datos cuantitativos; probable retroceso estacional flancos expuestos a nortes";Nula;"Manglar dominante lado S; RB Yum Balam";"Mínima; sin acceso; sin desarrollo";Abierto;Alta;INTERPRETACIÓN: 75% manglar EVIDENCIA (Wikipedia Holbox)
QR-I-a-06;"Costa S Holbox
(Bahía de Holbox / Lag. Yalahau)";21.5180°N, 87.3800°W;21.4960°N, 87.1550°W;26;Sistema lagunar;"Laguna de barrera (back-barrier); Bahía de Holbox; prof. media <2 m; boca Conil = inlet principal; SGD vía Zona Fractura Holbox; manglar extenso";N/A (lagunar);Muy bajo;"Circulación estuarina; flujo mareal";"N/A (sistema lagunar).
Bahía de Holbox (back-barrier): circulación mareal y estuarina.
Transporte litoral no aplica; dominan procesos de sedimentación fina y flujos lagunares.";"Aportes de manglar (materia orgánica, sedimento fino);
bioproducción lagunar (Thalassia, algas);
overwash desde costa N durante tormentas";"Boca Conil (exportación); sedimentación fondos";Sumidero neto (acumulación fangosa);"Muelles artesanales en costa lagunar de Holbox.
Sistema lagunar: sin relevancia para transporte litoral oceánico.";"Sedimentación fangosa dominante; sin datos de erosión/acreción costera cuantitativos";Nula;"Manglar extenso; Thalassia; RB Yum Balam; flamencos, tortugas";"Contaminación SGD; deficiencias saneamiento; TRIX medido en inlets indicando enriquecimiento nutrientes (Rubio-Cisneros et al. 2018, doi:10.1016/j.rsma.2018.06.003)
Metales en Thalassia: Fe >400 µg/g, Cd >4 µg/g (Avelar et al. 2013, doi:10.1007/s10661-013-3121-7)";Semi-cerrado (boca Conil);Media;"EVIDENCIA: metales en Thalassia (Avelar et al. 2013, doi:10.1007/s10661-013-3121-7); TRIX en inlets (Rubio-Cisneros et al. 2018, doi:10.1016/j.rsma.2018.06.003); SGD (Hernández-Terrones et al. 2015, doi:10.1016/j.csr.2015.04.015)"
QR-I-b-01;Costa W Contoy (sotavento);21.5150°N, 86.8020°W;21.4720°N, 86.7985°W;4;Costa acumulativa;"Playa cerrada (pocket beach) con manglar posterior;
arena fina carbonatada;
baja energía;
PN desde 1998";Cerrada (apoyada);Bajo;"Variable (zona transición Golfo-Caribe)
Contoy está en la transición entre régimen westward (costa N) y southward (costa E)
Costa W (sotavento): protegida; corrientes locales dominan";"Sin datos publicados de transporte para Isla Contoy.
Appendini et al. 2012 no incluye islas offshore.

Mecanismo (CERC cualitativo): K=0.39; Hb ~0.3–0.6 m (sotavento + arrecife Ixlaché); ? ~5–15° (variable por posición transicional).
Corrientes del Canal de Yucatán pueden dominar sobre oleaje como agente de transporte.";"Bioproducción arrecifal; transporte residual";"Fondos someros; manglar";"Sin datos cuantitativos.
PN sin intervención; sin series históricas de perfiles de playa.
Balance: indeterminado";"Sin estructuras costeras.
PN federal; acceso restringido; sin intervención ingenieril.";"Sin datos; PN no intervenido";Media (arrecife Ixlaché cercano);"Manglar extenso; 230 spp. aves; anidación";"Mínima;
PN federal;
acceso restringido (200 visitantes/día máx., CONANP)";Semi-cerrado;Alta;INTERPRETACIÓN: clasificación por forma y orientación. PN Contoy: EVIDENCIA (CONANP)
